-- Testing: 258 tests, 192 workers --
PASS: compiler :: backsolver_loop_three_break_triangular.ll (226 of 258)
PASS: compiler :: backsolver_continuation_initial_memory.ll (227 of 258)
PASS: compiler :: hydra_internal_dag.ll (228 of 258)
PASS: compiler :: hydra_cross_region_hash_cons.ll (229 of 258)
PASS: compiler :: backsolver_continuation_byte_lane.ll (230 of 258)
PASS: compiler :: hydra_shared_predicate_dag.ll (231 of 258)
PASS: compiler :: backsolver_continuation_memory.ll (232 of 258)
PASS: compiler :: hydra_internal_tree.ll (233 of 258)
PASS: compiler :: backsolver_continuation_symbolic_heap_region_cycle.ll (234 of 258)
PASS: compiler :: test_qf_bv_conformance.py (235 of 258)
PASS: compiler :: test_semantic_proposals.py (236 of 258)
PASS: compiler :: test_query_store.py (237 of 258)
PASS: compiler :: test_research_protocol.py (238 of 258)
PASS: compiler :: backsolver_loop_multibreak.ll (239 of 258)
PASS: compiler :: backsolver_continuation_symbolic_heap_region.ll (240 of 258)
PASS: compiler :: hydra_multiblock.ll (241 of 258)
PASS: compiler :: backsolver_continuation_guarded_byte_lane.ll (242 of 258)
PASS: compiler :: backsolver_continuation_nested_memory.ll (243 of 258)
PASS: compiler :: backsolver_continuation_guarded_priority.ll (244 of 258)
PASS: compiler :: backsolver_continuation_pointer_union.ll (245 of 258)
PASS: compiler :: backsolver_continuation_cyclic_byte_lane.ll (246 of 258)
PASS: compiler :: backsolver_continuation_pointer_union_priority.ll (247 of 258)
PASS: compiler :: backsolver_continuation_multi_latch_cyclic_byte_lane.ll (248 of 258)
PASS: compiler :: backsolver_continuation_conditional_cyclic_byte_lane.ll (249 of 258)
PASS: compiler :: backsolver_continuation_conditional_multi_latch_cyclic_byte_lane.ll (250 of 258)
PASS: compiler :: test_qf_bv_campaign.py (251 of 258)
PASS: compiler :: test_distributed_state.py (252 of 258)
PASS: compiler :: test_qf_bv_coverage_join.py (253 of 258)
PASS: compiler :: live_continuation_source.c (254 of 258)
PASS: compiler :: test_qf_bv_strategy_campaign.py (255 of 258)
PASS: compiler :: backsolver_continuation_bounded_multi_latch_cyclic_byte_lane.ll (256 of 258)
PASS: compiler :: backsolver_continuation_nested_predicate_cyclic_byte_lane.ll (257 of 258)
PASS: compiler :: live_continuation_lowering.ll (258 of 258)

Testing Time: 211.13s

Total Discovered Tests: 258
  Unsupported:   1 (0.39%)
  Passed     : 257 (99.61%)
