ninja: Entering directory `build-llvm17'
[1/4] Performing build step for 'SymCCRuntime'
ninja: no work to do.
[2/4] No install step for 'SymCCRuntime'
[3/4] Completed 'SymCCRuntime'
[3/4] Testing the system...
-- Testing: 261 tests, 192 workers --
PASS: compiler :: backsolver_loop_multibreak.ll (242 of 261)
PASS: compiler :: backsolver_continuation_symbolic_heap_region.ll (243 of 261)
PASS: compiler :: hydra_multiblock.ll (244 of 261)
PASS: compiler :: backsolver_continuation_guarded_byte_lane.ll (245 of 261)
PASS: compiler :: backsolver_continuation_nested_memory.ll (246 of 261)
PASS: compiler :: backsolver_continuation_guarded_priority.ll (247 of 261)
PASS: compiler :: backsolver_continuation_pointer_union.ll (248 of 261)
PASS: compiler :: backsolver_continuation_cyclic_byte_lane.ll (249 of 261)
PASS: compiler :: backsolver_continuation_pointer_union_priority.ll (250 of 261)
PASS: compiler :: backsolver_continuation_multi_latch_cyclic_byte_lane.ll (251 of 261)
PASS: compiler :: backsolver_continuation_conditional_cyclic_byte_lane.ll (252 of 261)
PASS: compiler :: backsolver_continuation_conditional_multi_latch_cyclic_byte_lane.ll (253 of 261)
PASS: compiler :: test_qf_bv_campaign.py (254 of 261)
PASS: compiler :: test_distributed_state.py (255 of 261)
PASS: compiler :: test_qf_bv_coverage_join.py (256 of 261)
PASS: compiler :: live_continuation_source.c (257 of 261)
PASS: compiler :: test_qf_bv_strategy_campaign.py (258 of 261)
PASS: compiler :: backsolver_continuation_bounded_multi_latch_cyclic_byte_lane.ll (259 of 261)
PASS: compiler :: backsolver_continuation_nested_predicate_cyclic_byte_lane.ll (260 of 261)
PASS: compiler :: live_continuation_lowering.ll (261 of 261)

Testing Time: 212.94s

Total Discovered Tests: 261
  Unsupported:   2 (0.77%)
  Passed     : 259 (99.23%)
